cycle,games,decisive_games,avg_turns,decisive_avg_turns,avg_duration_secs,p0_success_avg,p1_success_avg,draw_rate,planner_guided_ratio,buffer_count,train_loss,policy_loss,value_loss
1,48,13,10.4583,9.0000,5.2391,1.1875,1.4583,0.7292,0.1048,4973,1.951832,1.214630,0.737562
2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.883136,1.183208,0.700281
3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.835154,1.180364,0.655143
4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.774692,1.176039,0.599005
5,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.725565,1.155270,0.570641
6,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.696363,1.144419,0.552289
7,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.669015,1.135855,0.533503
8,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.646955,1.117723,0.529570
9,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.644533,1.116608,0.528262
10,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.621975,1.095847,0.526460
11,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.613308,1.092825,0.520813
12,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.614728,1.093106,0.521952
13,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.610664,1.087838,0.523154
14,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.611732,1.090152,0.521909
15,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.603347,1.085673,0.518001
16,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4973,1.605171,1.080912,0.524584
