cycle,oracle_match_rate,loss,policy_loss,value_loss
1,0.6327,1.570704,0.874742,0.696235
2,0.6939,1.511685,0.818493,0.693439
3,0.6531,1.520343,0.827272,0.693320
4,0.7551,1.518696,0.825674,0.693271
5,0.7959,1.514197,0.821200,0.693243
6,0.7959,1.502112,0.809127,0.693228
7,0.6939,1.510111,0.817144,0.693213
8,0.6327,1.511174,0.818217,0.693204
9,0.8571,1.518745,0.825796,0.693197
10,0.7959,1.506520,0.813576,0.693189
11,0.7959,1.510845,0.817907,0.693183
12,0.5918,1.497537,0.804600,0.693179
13,0.7755,1.511037,0.818108,0.693175
14,0.9184,1.513010,0.820085,0.693172
15,0.7143,1.518829,0.825908,0.693169
